,GEOID,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
34,36117020500,0,0,0,0,0,0,0,2.93E-10,1.08E-06,0,7.18E-07,0,0,0,1,4,0,0
35,36029005300,0,0,1,0,0,0,4.21E-08,1.51E-11,2.97E-07,0,4.23E-08,0,0,0,1,1,0,1
36,36047031701,0,15,0,2,0,0,0,0,2.69E-09,0,2.21E-08,0,3,0,0,1,0,0
37,36103123403,0,0,0,0,0,0,0,0,5.35E-08,0,1.01E-07,0,0,0,0,0,0,0
38,36047032100,0,4,0,0,0,0,0,0,6.98E-09,0,2.03E-08,0,1,0,1,1,0,0
39,36087010503,1.28E-11,0,0,0,0,0,4.28E-08,1.28E-12,7.69E-07,0,2.79E-07,0,0,0,2,1,0,0
40,36061024100,0,8,0,0,0,0,5.57E-09,3.75E-14,2.88E-08,0,1.12E-08,0,1,0,1,0,0,0
41,36103147001,0,0,0,0,0,0,5.71E-08,0,4.11E-08,0,2.46E-07,0,0,0,0,0,0,0
42,36103190711,0,3,0,0,0,2.17E-11,0,2.09E-11,6.52E-07,0,7.83E-07,0,1,0,0,0,0,0
43,36081040000,0,0,0,0,0,0,0,0,9.89E-09,0,9.05E-08,0,0,0,0,0,0,0
44,36055001800,2.40E-11,9,1,0,0,4.03E-11,1.10E-07,8.59E-12,4.71E-07,1.81E-11,2.48E-07,1.56E-12,2,0,1,1,0,0
45,36055004900,0,0,0,0,0,0,0,0,2.04E-08,0,5.35E-08,0,0,0,1,0,0,0
46,36109001902,0,0,0,0,0,0,0,9.97E-12,8.26E-07,0,9.73E-07,0,0,0,1,1,0,0
47,36005025700,0,0,0,0,0,0,2.39E-08,0,9.74E-09,0,9.08E-09,0,0,0,0,0,0,0
48,36119002402,0,0,0,0,0,0,3.33E-08,0,4.09E-08,0,1.82E-08,0,0,0,0,0,0,0
49,36061006200,0,7,1,0,7,6.30E-12,2.37E-08,0,3.96E-08,2.48E-12,2.41E-08,0,1,0,1,2,0,2
50,36087012206,0,0,0,0,0,0,0,0,8.28E-08,0,3.14E-08,0,0,0,0,0,0,0
51,36103190709,0,0,0,0,0,0,5.78E-08,0,4.18E-07,3.27E-11,5.55E-07,0,0,0,1,7,0,0
52,36001002300,0,5,0,0,0,0,0,4.02E-13,8.05E-08,1.24E-12,5.83E-08,0,1,0,1,5,0,0
53,36005035100,0,3,0,0,0,0,1.88E-08,0,9.91E-08,0,1.35E-07,0,2,0,3,21,0,0
54,36067000700,0,0,1,0,0,0,0,2.45E-13,1.06E-08,0,5.30E-08,0,0,1,0,0,0,0
55,36079011900,3.68E-12,4,4,0,0,0,8.68E-08,0,7.06E-07,0,3.70E-07,0,3,2,0,0,0,0
56,36071014900,0,4,0,0,0,0,2.44E-07,2.51E-10,1.74E-06,1.19E-12,1.12E-06,3.08E-13,1,1,4,1,0,0
57,36061010400,0,39,1,1,0,0,0,4.13E-14,2.33E-08,0,1.24E-08,1.50E-14,5,1,1,0,0,0
58,36081037600,0,0,0,0,0,0,0,1.19E-12,5.82E-08,0,2.50E-07,0,0,0,0,1,0,0
59,36103190404,0,0,0,0,0,0,9.25E-08,1.01E-10,8.34E-07,1.81E-11,2.83E-07,0,0,0,1,3,0,0
60,36093032901,0,2,1,0,0,0,1.06E-07,0,1.56E-07,7.40E-14,2.62E-07,8.62E-12,0,1,2,0,0,0
61,36005027700,0,1,0,0,0,0,2.35E-08,7.39E-14,2.33E-08,0,4.15E-08,0,1,0,0,0,0,0
